sys_idx,domain,coherence,fertility,region
229,coupled_map_lattice,0.5761413247293844,0.3878428004104787,constrained_generative
244,coupled_map_lattice,0.5750909551501113,0.3207878400317053,constrained_generative
253,coupled_map_lattice,0.585884826415455,0.16156233136800605,constrained_generative
263,coupled_map_lattice,0.5743314398101451,0.31305776608224734,constrained_generative
278,coupled_map_lattice,0.5743875290741814,0.3229700126991085,constrained_generative
287,coupled_map_lattice,0.6566266248213642,0.11769381125776748,constrained_generative
290,coupled_map_lattice,0.573519004367756,0.32079561499264553,constrained_generative
296,coupled_map_lattice,0.5749254964710682,0.35320130567068675,constrained_generative
299,coupled_map_lattice,0.5733731681845364,0.3270627908664902,constrained_generative
302,coupled_map_lattice,0.6525031637402293,0.2643366971817439,constrained_generative
308,coupled_map_lattice,0.5767091794661677,0.1034375977412662,constrained_generative
316,coupled_map_lattice,0.5919024489119001,0.2429868685409638,constrained_generative
319,coupled_map_lattice,0.5742802641170669,0.13646628477514328,constrained_generative
320,coupled_map_lattice,0.5739910913713064,0.3446282551013365,constrained_generative
322,coupled_map_lattice,0.595140155810226,0.1833870524700135,constrained_generative
324,coupled_map_lattice,0.5736602862023512,0.23935671066429426,constrained_generative
330,coupled_map_lattice,0.6469914638267229,0.17634947244470273,constrained_generative
335,coupled_map_lattice,0.6257867541559089,0.17610887542939252,constrained_generative
355,coupled_map_lattice,0.6558282228448509,0.11715854969661775,constrained_generative
357,coupled_map_lattice,0.612325137917219,0.09322694352875034,constrained_generative
358,coupled_map_lattice,0.5739077791228694,0.38844412004422163,constrained_generative
359,coupled_map_lattice,0.6157373446645806,0.16687361616146906,constrained_generative
367,coupled_map_lattice,0.664444019694827,0.10221686962371838,constrained_generative
395,coupled_map_lattice,0.6541414472203012,0.140994725041431,constrained_generative
401,coupled_map_lattice,0.5927801923841544,0.08641675668961057,constrained_generative
406,coupled_map_lattice,0.628788661300899,0.08666073879568069,constrained_generative
411,coupled_map_lattice,0.5874029675766388,0.4310175825854527,constrained_generative
412,coupled_map_lattice,0.5737935665157338,0.3613691124347063,constrained_generative
423,coupled_map_lattice,0.6365044847141486,0.10429647304123604,constrained_generative
426,coupled_map_lattice,0.5759906253695554,0.3362967012931473,constrained_generative
429,coupled_map_lattice,0.6088928134355072,0.09595934183402506,constrained_generative
433,coupled_map_lattice,0.5745760932803357,0.24922872553446945,constrained_generative
463,coupled_map_lattice,0.630726403942653,0.08616430406068284,constrained_generative
469,coupled_map_lattice,0.5734961519798606,0.27886601277026907,constrained_generative
473,coupled_map_lattice,0.5760807544989437,0.2244195264896621,constrained_generative
477,coupled_map_lattice,0.6299220495824036,0.08974074302706164,constrained_generative
497,coupled_map_lattice,0.5743140579636664,0.2973705806952114,constrained_generative
499,coupled_map_lattice,0.6327509792409032,0.1598996159737625,constrained_generative
0,kuramoto,0.5757744733098915,0.14931502605771116,constrained_generative
4,kuramoto,0.5740769382384301,0.2682057139965497,constrained_generative
7,kuramoto,0.5771410474217288,0.15094326072485362,constrained_generative
9,kuramoto,0.574941291849531,0.22673341883905151,constrained_generative
11,kuramoto,0.575628053839036,0.152101452066242,constrained_generative
13,kuramoto,0.5763218192530577,0.2887499239063055,constrained_generative
14,kuramoto,0.5772270662889655,0.17769510422003026,constrained_generative
15,kuramoto,0.573250954232648,0.2855733453078013,constrained_generative
19,kuramoto,0.5765353341243326,0.16106327937987386,constrained_generative
20,kuramoto,0.5734810828397052,0.2311955737423053,constrained_generative
22,kuramoto,0.5752299821220817,0.2230325655327523,constrained_generative
27,kuramoto,0.5752094542949299,0.19936407713582102,constrained_generative
28,kuramoto,0.5735189520163262,0.25782165204544344,constrained_generative
30,kuramoto,0.5761963385175152,0.18645369068110543,constrained_generative
33,kuramoto,0.5736225821927109,0.2683788947437184,constrained_generative
36,kuramoto,0.5744138291423075,0.21661642818806828,constrained_generative
38,kuramoto,0.5745670844303485,0.2633955550140217,constrained_generative
39,kuramoto,0.576547166484814,0.2298665985147703,constrained_generative
42,kuramoto,0.5754544350071709,0.15068998320809157,constrained_generative
43,kuramoto,0.5751902553721332,0.2051446967523991,constrained_generative
52,kuramoto,0.5770908335707569,0.3101128176491373,constrained_generative
53,kuramoto,0.5753908665483319,0.29618807512620454,constrained_generative
55,kuramoto,0.5766610393380815,0.09433276732519157,constrained_generative
60,kuramoto,0.5768793734444376,0.32700344724710895,constrained_generative
70,kuramoto,0.5733422183162354,0.1314649672994713,constrained_generative
72,kuramoto,0.5786586294108996,0.24280275114633781,constrained_generative
73,kuramoto,0.574765911091048,0.25414998195526123,constrained_generative
83,kuramoto,0.5769617099265499,0.09419067984722945,constrained_generative
88,kuramoto,0.580747649015384,0.21526967522302096,constrained_generative
90,kuramoto,0.5737361233768796,0.27202995787556605,constrained_generative
93,kuramoto,0.5754158573085769,0.28161927546167265,constrained_generative
94,kuramoto,0.5759304240306741,0.2905517554544598,constrained_generative
96,kuramoto,0.5800206444613307,0.13734968263839215,constrained_generative
103,kuramoto,0.5753151294910355,0.2723558229133113,constrained_generative
104,kuramoto,0.5772379417649058,0.28396633214171896,constrained_generative
105,kuramoto,0.5735438410358338,0.2557006085783112,constrained_generative
109,kuramoto,0.5751183346649524,0.24858745637597124,constrained_generative
113,kuramoto,0.5795525888812627,0.29705381481559545,constrained_generative
114,kuramoto,0.5737723702124016,0.2436914180509407,constrained_generative
115,kuramoto,0.5766771971879484,0.25654249420795733,constrained_generative
116,kuramoto,0.5753850915345063,0.2687353437621241,constrained_generative
121,kuramoto,0.5733488102977815,0.2224861513923627,constrained_generative
133,kuramoto,0.5736897950040356,0.137615924918003,constrained_generative
136,kuramoto,0.5801725215860412,0.21709722732013612,constrained_generative
137,kuramoto,0.5764530959385067,0.2692913892862152,constrained_generative
138,kuramoto,0.5748943771921641,0.14626048828010457,constrained_generative
142,kuramoto,0.5767385832457348,0.29251472744859053,constrained_generative
144,kuramoto,0.5747033932229054,0.27244477160304764,constrained_generative
145,kuramoto,0.578598375901903,0.09964523770513684,constrained_generative
150,kuramoto,0.5732571857878561,0.22996370990463114,constrained_generative
153,kuramoto,0.5755070584369655,0.1326579156895005,constrained_generative
155,kuramoto,0.5743089863703063,0.1543466900451027,constrained_generative
157,kuramoto,0.5786985373512522,0.19496515418835955,constrained_generative
158,kuramoto,0.5768343936613824,0.16969408287533486,constrained_generative
162,kuramoto,0.5734453182924794,0.2535853399976706,constrained_generative
164,kuramoto,0.5735686916046546,0.23935536703561777,constrained_generative
169,kuramoto,0.5738112465891255,0.26859390318294624,constrained_generative
171,kuramoto,0.5843100043489383,0.23637235890881683,constrained_generative
175,kuramoto,0.5733687336064643,0.27732907309986904,constrained_generative
177,kuramoto,0.5765539369303629,0.17035682638887473,constrained_generative
178,kuramoto,0.5733043883550402,0.2180830327887009,constrained_generative
179,kuramoto,0.5736455883130912,0.28609493826214244,constrained_generative
181,kuramoto,0.5772211160343154,0.09279266919780749,constrained_generative
186,kuramoto,0.5794158185138142,0.16722165533382455,constrained_generative
193,kuramoto,0.5732758503770597,0.23454704574913984,constrained_generative
194,kuramoto,0.5805001328186105,0.217154377835446,constrained_generative
195,kuramoto,0.5733027891436987,0.2826415040546345,constrained_generative
197,kuramoto,0.5751323324709652,0.2077008154406306,constrained_generative
210,kuramoto,0.5758910704245824,0.23610792846211953,constrained_generative
211,kuramoto,0.5754916566018847,0.2516680155183856,constrained_generative
220,kuramoto,0.5739691803744567,0.22173968338765856,constrained_generative
222,kuramoto,0.573701158683686,0.23978409030234124,constrained_generative
224,kuramoto,0.5741136709000199,0.20069293388031015,constrained_generative
227,kuramoto,0.5741751793561295,0.22891345907499785,constrained_generative
232,kuramoto,0.5750324496427835,0.2515695034153959,constrained_generative
236,kuramoto,0.5743463423886137,0.26736866708332363,constrained_generative
237,kuramoto,0.5766011704949776,0.2352783419417419,constrained_generative
247,kuramoto,0.5780873079716637,0.23703812198847085,constrained_generative
248,kuramoto,0.5756342194402224,0.16315260484596417,constrained_generative
251,kuramoto,0.5746665804023879,0.29839344333774115,constrained_generative
252,kuramoto,0.5761549425962974,0.2989006745196029,constrained_generative
253,kuramoto,0.5835584492938967,0.31712943242082026,constrained_generative
255,kuramoto,0.5756135196485385,0.10663007335750806,constrained_generative
256,kuramoto,0.5757111063322853,0.25890258614101813,constrained_generative
258,kuramoto,0.5773168851972146,0.3054316318000839,constrained_generative
260,kuramoto,0.5793969924122206,0.31859438482984387,constrained_generative
261,kuramoto,0.5737461155200826,0.17775897342442307,constrained_generative
262,kuramoto,0.573750983912013,0.22877457458229702,constrained_generative
263,kuramoto,0.5758170455396521,0.22000128140929825,constrained_generative
267,kuramoto,0.5755405427624287,0.2614966881949606,constrained_generative
271,kuramoto,0.5762876656306855,0.11777561546322739,constrained_generative
272,kuramoto,0.5767756100286404,0.13644896768373815,constrained_generative
273,kuramoto,0.5747469565262766,0.19305914561432364,constrained_generative
278,kuramoto,0.5756946282967217,0.2988590641769109,constrained_generative
279,kuramoto,0.5752714177165434,0.23364692424885827,constrained_generative
280,kuramoto,0.5766165630614968,0.26967633005536557,constrained_generative
281,kuramoto,0.5742645869942022,0.2151768017568867,constrained_generative
284,kuramoto,0.5759837549113214,0.12274599974141878,constrained_generative
290,kuramoto,0.5758779480433206,0.3114179397628541,constrained_generative
291,kuramoto,0.5754773535254853,0.1195543958995543,constrained_generative
293,kuramoto,0.5807306781955048,0.2596564084563877,constrained_generative
294,kuramoto,0.5758385938027072,0.25651782727951217,constrained_generative
297,kuramoto,0.5779776857770118,0.2751781558556881,constrained_generative
298,kuramoto,0.5830715433997624,0.2909337802968928,constrained_generative
299,kuramoto,0.5756006040036021,0.1185381052534111,constrained_generative
306,kuramoto,0.5760299739562036,0.20386548562705215,constrained_generative
307,kuramoto,0.5751773334555722,0.264066999814268,constrained_generative
313,kuramoto,0.5747654316815073,0.09099629688263579,constrained_generative
321,kuramoto,0.5794590526269927,0.2688557957965758,constrained_generative
326,kuramoto,0.5752416722795886,0.2704787419196761,constrained_generative
330,kuramoto,0.5737832148088496,0.2293906022444108,constrained_generative
334,kuramoto,0.5740884604032439,0.24971332840555216,constrained_generative
335,kuramoto,0.5752796924708732,0.20749733493063924,constrained_generative
337,kuramoto,0.5800478428347485,0.204390583240998,constrained_generative
