universe_id,property,score,transition_depth
73,distinction,0.25,4.0
73,persistence,1.0,3.0
73,composition,0.12,1.0
73,closure,0.8461538461538461,4.0
73,arithmetic,0.0,0.0
73,geometry,1.0,4.0
73,dimension,0.0,0.0
74,distinction,0.5,2.0
74,persistence,1.0,1.0
74,composition,0.04,1.0
74,closure,0.9230769230769231,2.0
74,arithmetic,0.0,0.0
74,geometry,1.0,2.0
74,dimension,0.0,0.0
75,distinction,1.0,1.0
75,persistence,1.0,0.0
75,composition,0.0,26.0
75,closure,0.9615384615384616,1.0
75,arithmetic,0.0,0.0
75,geometry,0.0,26.0
75,dimension,0.0,0.0
76,distinction,0.3333333333333333,3.0
76,persistence,1.0,2.0
76,composition,0.0,26.0
76,closure,0.8846153846153846,3.0
76,arithmetic,0.25,1.0
76,geometry,1.0,3.0
76,dimension,0.0,0.0
77,distinction,1.0,1.0
77,persistence,1.0,0.0
77,composition,0.0,26.0
77,closure,0.9615384615384616,1.0
77,arithmetic,0.0,0.0
77,geometry,0.0,26.0
77,dimension,0.0,0.0
78,distinction,1.0,1.0
78,persistence,1.0,0.0
78,composition,0.0,26.0
78,closure,0.9615384615384616,1.0
78,arithmetic,0.0,0.0
78,geometry,0.0,26.0
78,dimension,0.0,0.0
79,distinction,0.5,2.0
79,persistence,1.0,1.0
79,composition,0.0,26.0
79,closure,0.9230769230769231,2.0
79,arithmetic,0.0,0.0
79,geometry,1.0,2.0
79,dimension,0.0,0.0
80,distinction,0.3333333333333333,3.0
80,persistence,1.0,2.0
80,composition,0.0,26.0
80,closure,0.8846153846153846,3.0
80,arithmetic,0.0,0.0
80,geometry,1.0,3.0
80,dimension,0.0,0.0
81,distinction,0.5,2.0
81,persistence,1.0,1.0
81,composition,0.0,26.0
81,closure,0.9230769230769231,2.0
81,arithmetic,0.0,0.0
81,geometry,1.0,2.0
81,dimension,0.0,0.0
82,distinction,1.0,1.0
82,persistence,1.0,0.0
82,composition,0.0,26.0
82,closure,0.9615384615384616,1.0
82,arithmetic,0.0,0.0
82,geometry,0.0,26.0
82,dimension,0.0,0.0
83,distinction,0.5,2.0
83,persistence,1.0,1.0
83,composition,0.04,1.0
83,closure,0.9230769230769231,2.0
83,arithmetic,0.0,0.0
83,geometry,0.9999999999985575,2.0
83,dimension,0.0,0.0
84,distinction,0.1111111111111111,9.0
84,persistence,1.0,8.0
84,composition,0.28,2.0
84,closure,0.6538461538461539,9.0
84,arithmetic,0.25,5.0
84,geometry,1.0,9.0
84,dimension,0.5882623287981528,0.0
85,distinction,0.5,2.0
85,persistence,1.0,1.0
85,composition,0.04,1.0
85,closure,0.9230769230769231,2.0
85,arithmetic,0.0,0.0
85,geometry,1.0,2.0
85,dimension,0.0,0.0
86,distinction,1.0,1.0
86,persistence,1.0,0.0
86,composition,0.0,26.0
86,closure,0.9615384615384616,1.0
86,arithmetic,0.0,0.0
86,geometry,0.0,26.0
86,dimension,0.0,0.0
87,distinction,0.16666666666666666,6.0
87,persistence,1.0,5.0
87,composition,0.08,1.0
87,closure,0.7692307692307693,6.0
87,arithmetic,0.5,2.0
87,geometry,1.0,6.0
87,dimension,0.0,0.0
88,distinction,1.0,1.0
88,persistence,1.0,0.0
88,composition,0.0,26.0
88,closure,0.9615384615384616,1.0
88,arithmetic,0.0,0.0
88,geometry,0.0,26.0
88,dimension,0.0,0.0
89,distinction,0.5,2.0
89,persistence,1.0,1.0
89,composition,0.04,1.0
89,closure,0.9230769230769231,2.0
89,arithmetic,0.0,0.0
89,geometry,0.9999999999985575,2.0
89,dimension,0.0,0.0
90,distinction,0.3333333333333333,3.0
90,persistence,1.0,2.0
90,composition,0.0,26.0
90,closure,0.8846153846153846,3.0
90,arithmetic,0.25,1.0
90,geometry,1.0,3.0
90,dimension,0.0,0.0
91,distinction,1.0,1.0
91,persistence,1.0,0.0
91,composition,0.0,26.0
91,closure,0.9615384615384616,1.0
91,arithmetic,0.0,0.0
91,geometry,0.0,26.0
91,dimension,0.0,0.0
92,distinction,0.5,2.0
92,persistence,1.0,1.0
92,composition,0.04,1.0
92,closure,0.9230769230769231,2.0
92,arithmetic,0.0,0.0
92,geometry,0.9999999999985575,2.0
92,dimension,0.0,0.0
93,distinction,0.2,5.0
93,persistence,1.0,4.0
93,composition,0.12,1.0
93,closure,0.8076923076923077,5.0
93,arithmetic,0.0,0.0
93,geometry,1.0,5.0
93,dimension,0.0,0.0
94,distinction,0.5,2.0
94,persistence,1.0,1.0
94,composition,0.04,1.0
94,closure,0.9230769230769231,2.0
94,arithmetic,0.0,0.0
94,geometry,0.9999999999985575,2.0
94,dimension,0.0,0.0
95,distinction,0.5,4.0
95,persistence,0.2,26.0
95,composition,1.0,1.0
95,closure,0.8461538461538461,4.0
95,arithmetic,0.0,0.0
95,geometry,1.0,4.0
95,dimension,0.0,0.0
96,distinction,0.3333333333333333,3.0
96,persistence,1.0,2.0
