K,dwell_time,c_var_during,c_var_pre,c_var_post,trans_stabilization,trans_locking,r_pre,r_during,r_post,in_transition,mean_c
0.9615016666206242,0.0,0.026124509292651223,0.11333711948397741,0.013377344099833516,1,0,0.8114289578092081,0.8489574982045677,0.7999510131894173,0,0.6704868403342948
0.7386738033132411,0.28,0.019659622041734114,0.0455943845254357,0.04410792069143352,1,0,0.8770958745754384,0.7653582152331194,0.8397593683255211,0,0.6700015944056399
0.878815524050348,0.34,0.06889008289077027,0.03406911305388009,0.08443137904702577,1,0,0.6718502395450392,0.6728666483152491,0.7594133547146793,1,0.5770013862442028
0.7807526335381851,0.0,0.020651486467471915,0.047245257583908754,0.009620773848432605,1,0,0.9251780500565644,0.8953608458954396,0.8603881378335771,0,0.7622026327690394
0.20631379381361592,0.875,0.038831461323614355,0.04135599122503663,0.02919729208686812,1,0,0.370331616917055,0.4242392889124487,0.1454106052356607,1,0.058581976636208094
0.9085104675738673,0.0,0.016487052283146855,0.0907182822518116,0.00792891870254875,1,0,0.8536975565006056,0.8899546462533128,0.860284464805542,0,0.7591672559534052
0.4167978366818693,0.0,0.11075601821501892,0.02651133676903948,0.008149641077089952,0,0,0.6030703972999479,0.9269645856183544,0.8941397741318088,0,0.8069327257047912
0.9957688233014131,0.0,0.022110991594557396,0.1486393896817288,0.011371514387414001,1,0,0.8833508782950595,0.903202302308783,0.8908122609236305,0,0.8052715167545302
0.1641057798539569,0.52,0.06597414704888346,0.09835604656474546,0.026121181159579333,1,0,0.22798773607756834,0.4474335287073231,0.35627734211961104,1,0.2386699904610187
0.6276312774386139,0.405,0.038060695515985433,0.05823602203129424,0.014215391928689109,1,0,0.5837970297210702,0.5413752123778499,0.4969907173061851,1,0.32765450858256656
0.03204132712737229,0.555,0.10111199890120054,0.017933282802456735,0.037213144820569,0,0,0.4554963360599556,0.6994517704801886,0.5301034995065744,1,0.3597447611223429
0.804671272807092,0.0,0.022266573190685004,0.0663298424214911,0.006002706565069127,1,0,0.9108171486069875,0.8969469978552412,0.8757461132037072,0,0.7744565914528332
0.14936497472500854,0.85,0.01732579495662152,0.03422620948145194,0.05629473810978442,1,0,0.42708526783560086,0.47795932741986774,0.6573788597016056,1,0.4085187036108366
0.1548013854531336,0.63,0.016169088187900367,0.039003450160332236,0.011357411194127918,1,0,0.2609089678472889,0.347928164759727,0.32457090902195374,1,0.18205265805694257
0.3720201007708678,0.0,0.11142788765318702,0.036529293830128144,0.00886726981883318,0,0,0.5839532636704154,0.9003613595436053,0.8641806178795575,0,0.7664794814435623
0.4644931715239681,0.775,0.03357478925324543,0.015455352094231297,0.0366080423191682,1,0,0.6328239567318202,0.4399546579692505,0.5904996894696768,1,0.38013522898974356
0.08929179594251324,0.54,0.0863609024495882,0.058430015961336575,0.0432841234304991,0,0,0.4608765743090245,0.5079645444271004,0.30097892221059064,1,0.12639805733575618
0.8202910310722001,0.0,0.029199187848631476,0.04643793542847838,0.005272650460470885,1,0,0.833567460267323,0.8599652704319432,0.81845532395925,0,0.6846078053865546
0.7260505129296339,0.29,0.02816343485807886,0.04958234407943934,0.027877256747469922,1,0,0.8242361817892487,0.8061212072227565,0.7956889064335166,0,0.646765838334022
