sim,transition_type,pre_shared_c,trans_shared_c,post_shared_c,pre_overlap,post_overlap,pre_c_range,post_c_range,fragmentation_change,shared_survives,reorganization,pre_order,post_order
50,coupling_weaken,0.865086339034989,0.8678553006496679,0.5715627030321345,0.9545822073081434,0.8724682910171353,0.11153108670688794,0.3688516400379772,0.2573205533310893,1,0.8,0.9374521569259129,0.5481675904870661
51,bifurcation,0.4338281301878011,0.46574010918160286,0.3665073256266916,0.9246218376020979,0.8786502137803379,0.17550120268930552,0.19063452307228695,0.01513332038298143,1,1.0,0.8127664850836499,0.5017534831905911
52,topology_change,0.5243039010793649,0.5509975829572501,0.4900813230878785,0.7968230250303195,0.8051342783450222,0.4770064738256178,0.42772984153794813,-0.04927663228766965,1,0.8,0.6863498686315366,0.6351151453020889
53,coupling_weaken,0.6393518181218031,0.676551495724143,0.48810107586303547,0.9587842465093093,0.9511553171025997,0.10412926055503902,0.09075608945657287,-0.013373171098466141,1,0.4,0.8893931294441777,0.9073203095364084
54,coupling_strengthen,0.14225317404706417,0.1670529588627444,0.7647206150816994,0.9375105592479958,0.9792809540741026,0.20306144195579456,0.04302180319054538,-0.16003963876524918,1,0.8,0.4593370525064697,0.958361585135078
55,fragmentation,0.32479885624760646,0.3923964615060451,0.23407122860188906,0.8834021149480584,0.9439436332149577,0.2116283335084848,0.13069794483587657,-0.08093038867260824,0,1.0,0.7992743479666679,0.6792469280478182
56,coupling_weaken,0.8014282985027262,0.8072070430865107,0.16333911083573172,0.9350732088095222,0.8889316478421142,0.13286545037002484,0.24446868626748142,0.11160323589745658,0,0.6,0.9089520340567492,0.22594041802101658
57,fragmentation,0.5959518125627036,0.619995292767597,0.45031707549612565,0.9783224335141442,0.9648011868833328,0.04121774144547796,0.07541729423947174,0.03419955279399378,1,0.8,0.9733450741763977,0.29436311371344637
58,bifurcation,0.4828061707591663,0.4880200909019506,0.49567168758538194,0.9820394624477753,0.9728921199820323,0.03775613575831571,0.05654596053745148,0.018789824779135766,1,0.4,0.7628237373235842,0.5494833723035729
59,fragmentation,0.8127497742429309,0.8245141143047482,0.1818692017072893,0.9685797769275517,0.9445356277074232,0.0681589793253744,0.09511506150582501,0.026956082180450605,0,0.8,0.9336910973264528,0.23460252706302068
60,topology_change,0.6098093617652773,0.6259727235315257,0.29057406603428093,0.9152342032180038,0.9259770154279634,0.16221935930265907,0.12367974187548397,-0.0385396174271751,0,1.0,0.8385773193134197,0.7540577816942415
61,fragmentation,0.6598444023682727,0.6419568589193553,0.1776971739587658,0.8938905470031863,0.9024014403838829,0.2039759948697849,0.15844783604346518,-0.04552815882631972,0,1.0,0.7726816076906219,0.18894969859032945
62,closure_reorg,0.6283048634275326,0.6457916318950158,0.6905022964178165,0.9603928557595538,0.8788127816137752,0.0692250216763336,0.2711065391148878,0.2018815174385542,1,0.8,0.8555482138205694,0.8290396986328075
63,fragmentation,0.4968283618717459,0.4453754922352754,0.3192751112175821,0.9109149678625031,0.8884863205270364,0.19088139711717816,0.19933227101623405,0.008450873899055883,1,0.8,0.5645491644218176,0.5904791853552922
64,closure_reorg,0.3363302168594155,0.31274527566736066,0.3052285918236851,0.9720595029344016,0.9028127480310799,0.03936523202543468,0.1385151200816744,0.09914988805623973,1,0.6,0.2695531801519586,0.22780040025569231
65,topology_change,0.380775392304099,0.36493313565185126,0.36922609183445826,0.9340371025850558,0.9734980278432629,0.15857229562322378,0.034449156792306534,-0.12412313883091725,1,1.0,0.5039130194295375,0.6000137970201558
66,topology_change,0.558474282957251,0.4780396650478604,0.4666169481736794,0.9606123679070517,0.9367861826734991,0.11795654955349005,0.09355857484700614,-0.024397974706483916,1,0.8,0.651473015462509,0.7889658217543848
67,coupling_weaken,0.8433431648483297,0.8549454895256816,0.332552947004809,0.9243798093748345,0.799093375401664,0.16388828597975502,0.3318750380964782,0.1679867521167232,1,0.8,0.9430084849671728,0.5528644492516696
68,bifurcation,0.5191746201741803,0.49541103398683867,0.4325439473008173,0.8676660298048787,0.8498478585821111,0.27593943511561786,0.24541193937486488,-0.030527495740752975,1,0.4,0.7073261887303626,0.8438335720486289
69,coupling_strengthen,0.3582877629925322,0.35535769572912784,0.606382785534651,0.8653009659581614,0.917188145000964,0.3320947407595956,0.2034156337585057,-0.12867910700108992,1,1.0,0.5723479114575438,0.7906214379090089
70,fragmentation,0.34777877498324095,0.307684268607404,0.31571459864705137,0.8779525122151434,0.8979174672887865,0.2299100379554183,0.2045612651021102,-0.02534877285330811,1,0.6,0.48784965550160087,0.6908968290534132
71,closure_reorg,0.5065973146687458,0.4620199611044687,0.43824953813641604,0.8984372086346899,0.8907241822984048,0.205369273268533,0.28235919808174165,0.07698992481320865,1,0.6,0.3510258783760422,0.48683872931620525
72,bifurcation,0.32122193107326175,0.349562882043167,0.5047925600235429,0.9484579922146973,0.9650305284577685,0.08296826948697344,0.09385320243357731,0.010884932946603865,1,1.0,0.46677690430685465,0.611863149060452
73,coupling_weaken,0.5683500433261441,0.5788669696686621,0.2755814108933379,0.9612212383533003,0.9688338761535324,0.071486426978424,0.047050134737892185,-0.024436292240531815,0,0.4,0.8050734014311459,0.15995436595496926
74,fragmentation,0.8065370397160747,0.80746655580472,0.4526664458837986,0.976315942641845,0.9005011177108552,0.05515094718677194,0.25259577773802855,0.1974448305512566,1,0.4,0.9036410010288063,0.5397157994428206
75,closure_reorg,0.65301142462182,0.6083417356675861,0.6519030117654814,0.9221342502403849,0.8756166152139662,0.18426567469170707,0.3123718232719318,0.12810614858022473,1,0.0,0.7021460649182345,0.7812116294452954
76,coupling_strengthen,0.15680923760176269,0.15135616065541865,0.7406823029314762,0.952309873463762,0.9760609457684216,0.10521644371291025,0.05327233376139673,-0.05194410995151352,1,0.8,0.2992367827828618,0.9359021812955295
77,coupling_strengthen,0.4869824375876764,0.473830469961809,0.6631054717436027,0.9689037379048273,0.9908738820241269,0.08601139246902345,0.021005271545542548,-0.0650061209234809,1,0.6,0.5681843835658971,0.9465597736564441
78,coupling_strengthen,0.43673470292470273,0.3598436327683816,0.8255885973822729,0.9225387744549043,0.9621882526412231,0.16412842392998672,0.08012878500501841,-0.08399963892496831,1,0.6,0.4862248024657664,0.9373672168511
